Number,Name,Type,Species,Height,Weight,Description,Abilities,Stats,Moves
100,Voltorb,"Electric","Ball Pokémon","0.5m (1′08″)","10.4kg (22.9lbs)","Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.","Soundproof, Static, Aftermath (hidden ability)","HP: 40; Attack: 30; Defense: 50; Sp. Atk: 55; Sp. Def: 55; Speed: 100; Total: 330",""
101,Electrode,"Electric","Ball Pokémon","1.2m (3′11″)","66.6kg (146.8lbs)","It stores electric energy under very high pressure. It often explodes with little or no provocation.","Soundproof, Static, Aftermath (hidden ability)","HP: 60; Attack: 50; Defense: 70; Sp. Atk: 80; Sp. Def: 80; Speed: 150; Total: 490",""
102,Exeggcute,"Grass, Psychic","Egg Pokémon","0.4m (1′04″)","2.5kg (5.5lbs)","Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms.","Chlorophyll, Harvest (hidden ability)","HP: 60; Attack: 40; Defense: 80; Sp. Atk: 60; Sp. Def: 45; Speed: 40; Total: 325","LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 5, Move: Reflect, Type: Psychic, Power: —, Accuracy: —; LVL: 10, Move: Leech Seed, Type: Grass, Power: —, Accuracy: 90; LVL: 15, Move: Mega Drain, Type: Grass, Power: 40, Accuracy: 100; LVL: 20, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 25, Move: Synthesis, Type: Grass, Power: —, Accuracy: —; LVL: 30, Move: Bullet Seed, Type: Grass, Power: 25, Accuracy: 100; LVL: 35, Move: Giga Drain, Type: Grass, Power: 75, Accuracy: 100; LVL: 40, Move: Extrasensory, Type: Psychic, Power: 80, Accuracy: 100; LVL: 45, Move: Uproar, Type: Normal, Power: 90, Accuracy: 100; LVL: 50, Move: Worry Seed, Type: Grass, Power: —, Accuracy: 100; LVL: 55, Move: Solar Beam, Type: Grass, Power: 120, Accuracy: 100; LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 5, Move: Reflect, Type: Psychic, Power: —, Accuracy: —; LVL: 10, Move: Leech Seed, Type: Grass, Power: —, Accuracy: 90; LVL: 15, Move: Mega Drain, Type: Grass, Power: 40, Accuracy: 100; LVL: 20, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 25, Move: Synthesis, Type: Grass, Power: —, Accuracy: —; LVL: 30, Move: Bullet Seed, Type: Grass, Power: 25, Accuracy: 100; LVL: 35, Move: Giga Drain, Type: Grass, Power: 75, Accuracy: 100; LVL: 40, Move: Extrasensory, Type: Psychic, Power: 80, Accuracy: 100; LVL: 45, Move: Uproar, Type: Normal, Power: 90, Accuracy: 100; LVL: 50, Move: Worry Seed, Type: Grass, Power: —, Accuracy: 100; LVL: 55, Move: Solar Beam, Type: Grass, Power: 120, Accuracy: 100"
103,Exeggutor,"Grass, Psychic","Coconut Pokémon","2.0m (6′07″)","120.0kg (264.6lbs)","Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE.","Chlorophyll, Harvest (hidden ability)","HP: 95; Attack: 95; Defense: 85; Sp. Atk: 125; Sp. Def: 75; Speed: 55; Total: 530","LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Bullet Seed, Type: Grass, Power: 25, Accuracy: 100; LVL: 1, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 1, Move: Extrasensory, Type: Psychic, Power: 80, Accuracy: 100; LVL: 1, Move: Giga Drain, Type: Grass, Power: 75, Accuracy: 100; LVL: 1, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 1, Move: Leaf Storm, Type: Grass, Power: 130, Accuracy: 90; LVL: 1, Move: Leech Seed, Type: Grass, Power: —, Accuracy: 90; LVL: 1, Move: Mega Drain, Type: Grass, Power: 40, Accuracy: 100; LVL: 1, Move: Psyshock, Type: Psychic, Power: 80, Accuracy: 100; LVL: 1, Move: Reflect, Type: Psychic, Power: —, Accuracy: —; LVL: 1, Move: Seed Bomb, Type: Grass, Power: 80, Accuracy: 100; LVL: 1, Move: Solar Beam, Type: Grass, Power: 120, Accuracy: 100; LVL: 1, Move: Synthesis, Type: Grass, Power: —, Accuracy: —; LVL: 1, Move: Uproar, Type: Normal, Power: 90, Accuracy: 100; LVL: 1, Move: Wood Hammer, Type: Grass, Power: 120, Accuracy: 100; LVL: 1, Move: Worry Seed, Type: Grass, Power: —, Accuracy: 100; LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Bullet Seed, Type: Grass, Power: 25, Accuracy: 100; LVL: 1, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 1, Move: Extrasensory, Type: Psychic, Power: 80, Accuracy: 100; LVL: 1, Move: Giga Drain, Type: Grass, Power: 75, Accuracy: 100; LVL: 1, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 1, Move: Leaf Storm, Type: Grass, Power: 130, Accuracy: 90; LVL: 1, Move: Leech Seed, Type: Grass, Power: —, Accuracy: 90; LVL: 1, Move: Mega Drain, Type: Grass, Power: 40, Accuracy: 100; LVL: 1, Move: Psyshock, Type: Psychic, Power: 80, Accuracy: 100; LVL: 1, Move: Reflect, Type: Psychic, Power: —, Accuracy: —; LVL: 1, Move: Seed Bomb, Type: Grass, Power: 80, Accuracy: 100; LVL: 1, Move: Solar Beam, Type: Grass, Power: 120, Accuracy: 100; LVL: 1, Move: Stomp, Type: Normal, Power: 65, Accuracy: 100; LVL: 1, Move: Synthesis, Type: Grass, Power: —, Accuracy: —; LVL: 1, Move: Uproar, Type: Normal, Power: 90, Accuracy: 100; LVL: 1, Move: Wood Hammer, Type: Grass, Power: 120, Accuracy: 100; LVL: 1, Move: Worry Seed, Type: Grass, Power: —, Accuracy: 100"
104,Cubone,"Ground","Lonely Pokémon","0.4m (1′04″)","6.5kg (14.3lbs)","Because it never removes its skull helmet, no one has ever seen this POKéMON’s real face.","Rock Head, Lightning Rod, Battle Armor (hidden ability)","HP: 50; Attack: 50; Defense: 95; Sp. Atk: 40; Sp. Def: 50; Speed: 35; Total: 320","LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Mud-Slap, Type: Ground, Power: 20, Accuracy: 100; LVL: 4, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 8, Move: False Swipe, Type: Normal, Power: 40, Accuracy: 100; LVL: 12, Move: Headbutt, Type: Normal, Power: 70, Accuracy: 100; LVL: 16, Move: Retaliate, Type: Normal, Power: 70, Accuracy: 100; LVL: 20, Move: Fling, Type: Dark, Power: —, Accuracy: 100; LVL: 24, Move: Stomping Tantrum, Type: Ground, Power: 75, Accuracy: 100; LVL: 29, Move: Bone Rush, Type: Ground, Power: 25, Accuracy: 90; LVL: 32, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 36, Move: Endeavor, Type: Normal, Power: —, Accuracy: 100; LVL: 40, Move: Bonemerang, Type: Ground, Power: 50, Accuracy: 90; LVL: 44, Move: Thrash, Type: Normal, Power: 120, Accuracy: 100; LVL: 48, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Mud-Slap, Type: Ground, Power: 20, Accuracy: 100; LVL: 4, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 8, Move: False Swipe, Type: Normal, Power: 40, Accuracy: 100; LVL: 12, Move: Headbutt, Type: Normal, Power: 70, Accuracy: 100; LVL: 16, Move: Retaliate, Type: Normal, Power: 70, Accuracy: 100; LVL: 20, Move: Fling, Type: Dark, Power: —, Accuracy: 100; LVL: 24, Move: Stomping Tantrum, Type: Ground, Power: 75, Accuracy: 100; LVL: 29, Move: Bone Rush, Type: Ground, Power: 25, Accuracy: 90; LVL: 32, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 36, Move: Endeavor, Type: Normal, Power: —, Accuracy: 100; LVL: 40, Move: Bonemerang, Type: Ground, Power: 50, Accuracy: 90; LVL: 44, Move: Thrash, Type: Normal, Power: 120, Accuracy: 100; LVL: 48, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100"
105,Marowak,"Ground","Bone Keeper Pokémon","1.0m (3′03″)","45.0kg (99.2lbs)","The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.","Rock Head, Lightning Rod, Battle Armor (hidden ability)","HP: 60; Attack: 80; Defense: 110; Sp. Atk: 50; Sp. Def: 80; Speed: 45; Total: 425","LVL: 1, Move: False Swipe, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Mud-Slap, Type: Ground, Power: 20, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Headbutt, Type: Normal, Power: 70, Accuracy: 100; LVL: 16, Move: Retaliate, Type: Normal, Power: 70, Accuracy: 100; LVL: 20, Move: Fling, Type: Dark, Power: —, Accuracy: 100; LVL: 24, Move: Stomping Tantrum, Type: Ground, Power: 75, Accuracy: 100; LVL: 31, Move: Bone Rush, Type: Ground, Power: 25, Accuracy: 90; LVL: 36, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 42, Move: Endeavor, Type: Normal, Power: —, Accuracy: 100; LVL: 48, Move: Bonemerang, Type: Ground, Power: 50, Accuracy: 90; LVL: 54, Move: Thrash, Type: Normal, Power: 120, Accuracy: 100; LVL: 60, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100"
106,Hitmonlee,"Fighting","Kicking Pokémon","1.5m (4′11″)","49.8kg (109.8lbs)","When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.","Limber, Reckless, Unburden (hidden ability)","HP: 50; Attack: 120; Defense: 53; Sp. Atk: 35; Sp. Def: 110; Speed: 87; Total: 455","LVL: 1, Move: Fake Out, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Low Sweep, Type: Fighting, Power: 65, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 4, Move: Double Kick, Type: Fighting, Power: 30, Accuracy: 100; LVL: 8, Move: Low Kick, Type: Fighting, Power: —, Accuracy: 100; LVL: 12, Move: Endure, Type: Normal, Power: —, Accuracy: —; LVL: 16, Move: Sucker Punch, Type: Dark, Power: 70, Accuracy: 100; LVL: 21, Move: Wide Guard, Type: Rock, Power: —, Accuracy: —; LVL: 24, Move: Blaze Kick, Type: Fire, Power: 85, Accuracy: 90; LVL: 28, Move: Feint, Type: Normal, Power: 30, Accuracy: 100; LVL: 32, Move: Mega Kick, Type: Normal, Power: 120, Accuracy: 75; LVL: 36, Move: Close Combat, Type: Fighting, Power: 120, Accuracy: 100; LVL: 40, Move: Reversal, Type: Fighting, Power: —, Accuracy: 100; LVL: 44, Move: High Jump Kick, Type: Fighting, Power: 130, Accuracy: 90; LVL: 50, Move: Axe Kick, Type: Fighting, Power: 120, Accuracy: 90; LVL: 1, Move: Brick Break, Type: Fighting, Power: 75, Accuracy: 100; LVL: 1, Move: Fake Out, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Feint, Type: Normal, Power: 30, Accuracy: 100; LVL: 1, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Low Sweep, Type: Fighting, Power: 65, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 4, Move: Double Kick, Type: Fighting, Power: 30, Accuracy: 100; LVL: 8, Move: Low Kick, Type: Fighting, Power: —, Accuracy: 100; LVL: 12, Move: Endure, Type: Normal, Power: —, Accuracy: —; LVL: 16, Move: Revenge, Type: Fighting, Power: 60, Accuracy: 100; LVL: 21, Move: Wide Guard, Type: Rock, Power: —, Accuracy: —; LVL: 24, Move: Blaze Kick, Type: Fire, Power: 85, Accuracy: 90; LVL: 28, Move: Mind Reader, Type: Normal, Power: —, Accuracy: —; LVL: 32, Move: Mega Kick, Type: Normal, Power: 120, Accuracy: 75; LVL: 36, Move: Close Combat, Type: Fighting, Power: 120, Accuracy: 100; LVL: 40, Move: Reversal, Type: Fighting, Power: —, Accuracy: 100; LVL: 44, Move: High Jump Kick, Type: Fighting, Power: 130, Accuracy: 90"
107,Hitmonchan,"Fighting","Punching Pokémon","1.4m (4′07″)","50.2kg (110.7lbs)","While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see.","Keen Eye, Iron Fist, Inner Focus (hidden ability)","HP: 50; Attack: 105; Defense: 79; Sp. Atk: 35; Sp. Def: 110; Speed: 76; Total: 455","LVL: 1, Move: Fake Out, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Feint, Type: Normal, Power: 30, Accuracy: 100; LVL: 1, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 4, Move: Mach Punch, Type: Fighting, Power: 40, Accuracy: 100; LVL: 8, Move: Vacuum Wave, Type: Fighting, Power: 40, Accuracy: 100; LVL: 12, Move: Detect, Type: Fighting, Power: —, Accuracy: —; LVL: 16, Move: Bullet Punch, Type: Steel, Power: 40, Accuracy: 100; LVL: 21, Move: Quick Guard, Type: Fighting, Power: —, Accuracy: —; LVL: 24, Move: Fire Punch, Type: Fire, Power: 75, Accuracy: 100; LVL: 24, Move: Ice Punch, Type: Ice, Power: 75, Accuracy: 100; LVL: 24, Move: Thunder Punch, Type: Electric, Power: 75, Accuracy: 100; LVL: 28, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 32, Move: Mega Punch, Type: Normal, Power: 80, Accuracy: 85; LVL: 36, Move: Close Combat, Type: Fighting, Power: 120, Accuracy: 100; LVL: 40, Move: Counter, Type: Fighting, Power: —, Accuracy: 100; LVL: 44, Move: Focus Punch, Type: Fighting, Power: 150, Accuracy: 100; LVL: 1, Move: Bullet Punch, Type: Steel, Power: 40, Accuracy: 100; LVL: 1, Move: Drain Punch, Type: Fighting, Power: 75, Accuracy: 100; LVL: 1, Move: Fake Out, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Feint, Type: Normal, Power: 30, Accuracy: 100; LVL: 1, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Vacuum Wave, Type: Fighting, Power: 40, Accuracy: 100; LVL: 4, Move: Mach Punch, Type: Fighting, Power: 40, Accuracy: 100; LVL: 8, Move: Power-Up Punch, Type: Fighting, Power: 40, Accuracy: 100; LVL: 12, Move: Detect, Type: Fighting, Power: —, Accuracy: —; LVL: 16, Move: Revenge, Type: Fighting, Power: 60, Accuracy: 100; LVL: 21, Move: Quick Guard, Type: Fighting, Power: —, Accuracy: —; LVL: 24, Move: Fire Punch, Type: Fire, Power: 75, Accuracy: 100; LVL: 24, Move: Ice Punch, Type: Ice, Power: 75, Accuracy: 100; LVL: 24, Move: Thunder Punch, Type: Electric, Power: 75, Accuracy: 100; LVL: 28, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 32, Move: Mega Punch, Type: Normal, Power: 80, Accuracy: 85; LVL: 36, Move: Close Combat, Type: Fighting, Power: 120, Accuracy: 100; LVL: 40, Move: Counter, Type: Fighting, Power: —, Accuracy: 100; LVL: 44, Move: Focus Punch, Type: Fighting, Power: 150, Accuracy: 100"
108,Lickitung,"Normal","Licking Pokémon","1.2m (3′11″)","65.5kg (144.4lbs)","Its tongue can be extended like a chameleon’s. It leaves a tingling sensation when it licks enemies.","Own Tempo, Oblivious, Cloud Nine (hidden ability)","HP: 90; Attack: 55; Defense: 75; Sp. Atk: 60; Sp. Def: 75; Speed: 30; Total: 385","LVL: 1, Move: Defense Curl, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Lick, Type: Ghost, Power: 30, Accuracy: 100; LVL: 6, Move: Rollout, Type: Rock, Power: 30, Accuracy: 90; LVL: 12, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 18, Move: Wrap, Type: Normal, Power: 15, Accuracy: 90; LVL: 24, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 30, Move: Stomp, Type: Normal, Power: 65, Accuracy: 100; LVL: 36, Move: Knock Off, Type: Dark, Power: 65, Accuracy: 100; LVL: 42, Move: Screech, Type: Normal, Power: —, Accuracy: 85; LVL: 48, Move: Slam, Type: Normal, Power: 80, Accuracy: 75; LVL: 54, Move: Power Whip, Type: Grass, Power: 120, Accuracy: 85; LVL: 60, Move: Belly Drum, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 6, Move: Rest, Type: Psychic, Power: —, Accuracy: —; LVL: 11, Move: Bulldoze, Type: Ground, Power: 60, Accuracy: 100; LVL: 18, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 25, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 34, Move: Rollout, Type: Rock, Power: 30, Accuracy: 90; LVL: 43, Move: Giga Impact, Type: Normal, Power: 150, Accuracy: 90"
109,Koffing,"Poison","Poison Gas Pokémon","0.6m (2′00″)","1.0kg (2.2lbs)","Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.","Levitate, Neutralizing Gas, Stench (hidden ability)","HP: 40; Attack: 65; Defense: 95; Sp. Atk: 60; Sp. Def: 45; Speed: 35; Total: 340","LVL: 1, Move: Poison Gas, Type: Poison, Power: —, Accuracy: 90; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 4, Move: Smog, Type: Poison, Power: 30, Accuracy: 70; LVL: 8, Move: Smokescreen, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Clear Smog, Type: Poison, Power: 50, Accuracy: —; LVL: 16, Move: Assurance, Type: Dark, Power: 60, Accuracy: 100; LVL: 20, Move: Sludge, Type: Poison, Power: 65, Accuracy: 100; LVL: 24, Move: Haze, Type: Ice, Power: —, Accuracy: —; LVL: 28, Move: Self-Destruct, Type: Normal, Power: 200, Accuracy: 100; LVL: 32, Move: Sludge Bomb, Type: Poison, Power: 90, Accuracy: 100; LVL: 36, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 40, Move: Belch, Type: Poison, Power: 120, Accuracy: 90; LVL: 44, Move: Explosion, Type: Normal, Power: 250, Accuracy: 100; LVL: 48, Move: Memento, Type: Dark, Power: —, Accuracy: 100; LVL: 52, Move: Destiny Bond, Type: Ghost, Power: —, Accuracy: —; LVL: 1, Move: Poison Gas, Type: Poison, Power: —, Accuracy: 90; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 4, Move: Smog, Type: Poison, Power: 30, Accuracy: 70; LVL: 8, Move: Smokescreen, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Clear Smog, Type: Poison, Power: 50, Accuracy: —; LVL: 16, Move: Assurance, Type: Dark, Power: 60, Accuracy: 100; LVL: 20, Move: Sludge, Type: Poison, Power: 65, Accuracy: 100; LVL: 24, Move: Haze, Type: Ice, Power: —, Accuracy: —; LVL: 28, Move: Self-Destruct, Type: Normal, Power: 200, Accuracy: 100; LVL: 32, Move: Sludge Bomb, Type: Poison, Power: 90, Accuracy: 100; LVL: 36, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 40, Move: Belch, Type: Poison, Power: 120, Accuracy: 90; LVL: 44, Move: Explosion, Type: Normal, Power: 250, Accuracy: 100; LVL: 48, Move: Memento, Type: Dark, Power: —, Accuracy: 100; LVL: 52, Move: Destiny Bond, Type: Ghost, Power: —, Accuracy: —"
110,Weezing,"Poison","Poison Gas Pokémon","1.2m (3′11″)","9.5kg (20.9lbs)","Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years.","Levitate, Neutralizing Gas, Stench (hidden ability)","HP: 65; Attack: 90; Defense: 120; Sp. Atk: 85; Sp. Def: 70; Speed: 60; Total: 490","LVL: 1, Move: Double Hit, Type: Normal, Power: 35, Accuracy: 90; LVL: 1, Move: Heat Wave, Type: Fire, Power: 95, Accuracy: 90; LVL: 1, Move: Poison Gas, Type: Poison, Power: —, Accuracy: 90; LVL: 1, Move: Smog, Type: Poison, Power: 30, Accuracy: 70; LVL: 1, Move: Smokescreen, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 12, Move: Clear Smog, Type: Poison, Power: 50, Accuracy: —; LVL: 16, Move: Assurance, Type: Dark, Power: 60, Accuracy: 100; LVL: 20, Move: Sludge, Type: Poison, Power: 65, Accuracy: 100; LVL: 24, Move: Haze, Type: Ice, Power: —, Accuracy: —; LVL: 28, Move: Self-Destruct, Type: Normal, Power: 200, Accuracy: 100; LVL: 32, Move: Sludge Bomb, Type: Poison, Power: 90, Accuracy: 100; LVL: 38, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 44, Move: Belch, Type: Poison, Power: 120, Accuracy: 90; LVL: 50, Move: Explosion, Type: Normal, Power: 250, Accuracy: 100; LVL: 56, Move: Memento, Type: Dark, Power: —, Accuracy: 100; LVL: 62, Move: Destiny Bond, Type: Ghost, Power: —, Accuracy: —"
111,Rhyhorn,"Ground, Rock","Spikes Pokémon","1.0m (3′03″)","115.0kg (253.5lbs)","Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying.","Lightning Rod, Rock Head, Reckless (hidden ability)","HP: 80; Attack: 85; Defense: 95; Sp. Atk: 30; Sp. Def: 30; Speed: 25; Total: 345","LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 5, Move: Smack Down, Type: Rock, Power: 50, Accuracy: 100; LVL: 10, Move: Bulldoze, Type: Ground, Power: 60, Accuracy: 100; LVL: 15, Move: Horn Attack, Type: Normal, Power: 65, Accuracy: 100; LVL: 20, Move: Scary Face, Type: Normal, Power: —, Accuracy: 100; LVL: 25, Move: Stomp, Type: Normal, Power: 65, Accuracy: 100; LVL: 30, Move: Rock Blast, Type: Rock, Power: 25, Accuracy: 90; LVL: 35, Move: Drill Run, Type: Ground, Power: 80, Accuracy: 95; LVL: 40, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 45, Move: Earthquake, Type: Ground, Power: 100, Accuracy: 100; LVL: 50, Move: Stone Edge, Type: Rock, Power: 100, Accuracy: 80; LVL: 55, Move: Megahorn, Type: Bug, Power: 120, Accuracy: 85; LVL: 60, Move: Horn Drill, Type: Normal, Power: —, Accuracy: 30; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 6, Move: Bulldoze, Type: Ground, Power: 60, Accuracy: 100; LVL: 11, Move: Rock Smash, Type: Fighting, Power: 40, Accuracy: 100; LVL: 18, Move: Stealth Rock, Type: Rock, Power: —, Accuracy: —; LVL: 25, Move: Rock Slide, Type: Rock, Power: 75, Accuracy: 90; LVL: 34, Move: High Horsepower, Type: Ground, Power: 95, Accuracy: 95; LVL: 43, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 52, Move: Giga Impact, Type: Normal, Power: 150, Accuracy: 90"
